"","ID","fileID","condition","speakerID","Target","Response","autoscore","Response.R","autoscore.R"
"102","L1","HH_word_ConvNoMask_knot","ConvNoMask","HH","knot","x",0,"",NA
"103","L1","HH_word_ConvNoMask_mad","ConvNoMask","HH","mad","x",0,"",NA
"104","L1","HH_word_ConvNoMask_neat","ConvNoMask","HH","neat","cute",0,"",NA
"105","L1","HH_word_ConvNoMask_pad","ConvNoMask","HH","pad","had",0,"",NA
"106","L1","HH_word_ConvNoMask_pat","ConvNoMask","HH","pat","back",0,"",NA
"107","L1","HH_word_ConvNoMask_sheep","ConvNoMask","HH","sheep","eat",0,"",NA
"108","L1","HH_word_ConvNoMask_ship","ConvNoMask","HH","ship","ship",1,"",NA
"109","L1","HH_word_ConvNoMask_shy","ConvNoMask","HH","shy","try",0,"",NA
"110","L1","HH_word_ConvNoMask_sigh","ConvNoMask","HH","sigh","sad",0,"",NA
"111","L1","HH_word_ConvNoMask_sip","ConvNoMask","HH","sip","tip",0,"",NA
"112","L1","HH_word_ConvNoMask_tan","ConvNoMask","HH","tan","tan",1,"",NA
"113","L1","HH_word_ConvNoMask_teen","ConvNoMask","HH","teen","X",0,"",NA
"114","L1","HH_word_ConvNoMask_ten","ConvNoMask","HH","ten","tan",0,"",NA
"115","L1","HH_word_ConvNoMask_tip","ConvNoMask","HH","tip","tip",1,"",NA
"116","L1","HH_word_ConvNoMask_tot","ConvNoMask","HH","tot","dad",0,"",NA
"117","L1","HH_word_ConvNoMask_vat","ConvNoMask","HH","vat","fan",0,"",NA
"118","L1","MS_word_ClearMask_back","ClearMask","MS","back","back",1,"",NA
"119","L1","MS_word_ClearMask_bag","ClearMask","MS","bag","bag",1,"",NA
"120","L1","MS_word_ClearMask_bat","ClearMask","MS","bat","that",0,"",NA
"121","L1","MS_word_ClearMask_beat","ClearMask","MS","beat","feet",0,"",NA
"122","L1","MS_word_ClearMask_book","ClearMask","MS","book","book",1,"",NA
"123","L1","MS_word_ClearMask_boot","ClearMask","MS","boot","boot",1,"",NA
"124","L1","MS_word_ClearMask_cab","ClearMask","MS","cab","cab",1,"",NA
"125","L1","MS_word_ClearMask_can","ClearMask","MS","can","can",1,"",NA
"126","L1","MS_word_ClearMask_cap","ClearMask","MS","cap","cat",0,"",NA
"127","L1","MS_word_ClearMask_chai","ClearMask","MS","chai","try",0,"",NA
"128","L1","MS_word_ClearMask_cheap","ClearMask","MS","cheap","cheat",0,"",NA
"129","L1","MS_word_ClearMask_chip","ClearMask","MS","chip","chip",1,"",NA
"130","L1","MS_word_ClearMask_dot","ClearMask","MS","dot","dot",1,"",NA
"131","L1","MS_word_ClearMask_eat","ClearMask","MS","eat","eat",1,"",NA
"132","L1","MS_word_ClearMask_fat","ClearMask","MS","fat","fat",1,"",NA
"133","L1","MS_word_ClearMask_feet","ClearMask","MS","feet","beat",0,"",NA
"134","L1","MS_word_ClearMask_fit","ClearMask","MS","fit","spit",0,"",NA
"135","L1","MS_word_ClearMask_gap","ClearMask","MS","gap","gap",1,"",NA
"136","L1","MS_word_ClearMask_heat","ClearMask","MS","heat","heat",1,"",NA
"137","L1","MS_word_ClearMask_hit","ClearMask","MS","hit","it",0,"",NA
"138","L1","MS_word_ClearMask_hot","ClearMask","MS","hot","hot",1,"",NA
"139","L1","MS_word_ClearMask_it","ClearMask","MS","it","it",1,"",NA
"140","L1","MS_word_ClearMask_keen","ClearMask","MS","keen","key",0,"",NA
"141","L1","MS_word_ClearMask_knot","ClearMask","MS","knot","not",1,"",NA
"142","L1","MS_word_ClearMask_mad","ClearMask","MS","mad","mad",1,"",NA
"143","L1","MS_word_ClearMask_neat","ClearMask","MS","neat","meat",0,"",NA
"144","L1","MS_word_ClearMask_pad","ClearMask","MS","pad","had",0,"",NA
"145","L1","MS_word_ClearMask_pat","ClearMask","MS","pat","pat",1,"",NA
"146","L1","MS_word_ClearMask_sheep","ClearMask","MS","sheep","sheet",0,"",NA
"147","L1","MS_word_ClearMask_ship","ClearMask","MS","ship","ship",1,"",NA
"148","L1","MS_word_ClearMask_shy","ClearMask","MS","shy","shy",1,"",NA
"149","L1","MS_word_ClearMask_sigh","ClearMask","MS","sigh","sigh",1,"",NA
"150","L1","MS_word_ClearMask_sip","ClearMask","MS","sip","sit",0,"",NA
"151","L1","MS_word_ClearMask_tan","ClearMask","MS","tan","tan",1,"",NA
"152","L1","MS_word_ClearMask_teen","ClearMask","MS","teen","team",0,"",NA
"153","L1","MS_word_ClearMask_ten","ClearMask","MS","ten","ten",1,"",NA
"154","L1","MS_word_ClearMask_tip","ClearMask","MS","tip","tip",1,"",NA
"155","L1","MS_word_ClearMask_tot","ClearMask","MS","tot","talk",0,"",NA
"156","L1","MS_word_ClearMask_vat","ClearMask","MS","vat","bat",0,"",NA
"157","L1","MS_word_ConvMask_back","ConvMask","MS","back","fast",0,"",NA
"158","L1","MS_word_ConvMask_bag","ConvMask","MS","bag","bag",1,"",NA
"159","L1","MS_word_ConvMask_bat","ConvMask","MS","bat","fat",0,"",NA
"160","L1","MS_word_ConvMask_beat","ConvMask","MS","beat","beat",1,"",NA
"161","L1","MS_word_ConvMask_book","ConvMask","MS","book","book",1,"",NA
"162","L1","MS_word_ConvMask_boot","ConvMask","MS","boot","boot",1,"",NA
"163","L1","MS_word_ConvMask_cab","ConvMask","MS","cab","cab",1,"",NA
"164","L1","MS_word_ConvMask_can","ConvMask","MS","can","hand",0,"",NA
"165","L1","MS_word_ConvMask_cap","ConvMask","MS","cap","cap",1,"",NA
"166","L1","MS_word_ConvMask_chai","ConvMask","MS","chai","chop",0,"",NA
"167","L1","MS_word_ConvMask_cheap","ConvMask","MS","cheap","sheep",0,"",NA
"168","L1","MS_word_ConvMask_chip","ConvMask","MS","chip","chip",1,"",NA
"169","L1","MS_word_ConvMask_dot","ConvMask","MS","dot","dot",1,"",NA
"170","L1","MS_word_ConvMask_eat","ConvMask","MS","eat","eat",1,"eat",1
"171","L1","MS_word_ConvMask_fat","ConvMask","MS","fat","back",0,"",NA
"172","L1","MS_word_ConvMask_feet","ConvMask","MS","feet","feet",1,"",NA
"173","L1","MS_word_ConvMask_fit","ConvMask","MS","fit","spit",0,"",NA
"174","L1","MS_word_ConvMask_gap","ConvMask","MS","gap","gap",1,"",NA
"175","L1","MS_word_ConvMask_heat","ConvMask","MS","heat","eat",0,"",NA
"176","L1","MS_word_ConvMask_hit","ConvMask","MS","hit","hit",1,"",NA
"177","L1","MS_word_ConvMask_hot","ConvMask","MS","hot","pot",0,"",NA
"178","L1","MS_word_ConvMask_it","ConvMask","MS","it","it",1,"",NA
"179","L1","MS_word_ConvMask_keen","ConvMask","MS","keen","keen",1,"",NA
"180","L1","MS_word_ConvMask_knot","ConvMask","MS","knot","not",1,"",NA
"181","L1","MS_word_ConvMask_mad","ConvMask","MS","mad","mad",1,"",NA
"182","L1","MS_word_ConvMask_neat","ConvMask","MS","neat","meat",0,"",NA
"183","L1","MS_word_ConvMask_pad","ConvMask","MS","pad","pad",1,"",NA
"184","L1","MS_word_ConvMask_pat","ConvMask","MS","pat","pat",1,"",NA
"185","L1","MS_word_ConvMask_sheep","ConvMask","MS","sheep","sheep",1,"",NA
"186","L1","MS_word_ConvMask_ship","ConvMask","MS","ship","ship",1,"",NA
"187","L1","MS_word_ConvMask_shy","ConvMask","MS","shy","shy",1,"",NA
"188","L1","MS_word_ConvMask_sigh","ConvMask","MS","sigh","sigh",1,"",NA
"189","L1","MS_word_ConvMask_sip","ConvMask","MS","sip","sip",1,"",NA
"190","L1","MS_word_ConvMask_tan","ConvMask","MS","tan","tan",1,"",NA
"191","L1","MS_word_ConvMask_teen","ConvMask","MS","teen","teen",1,"",NA
"192","L1","MS_word_ConvMask_ten","ConvMask","MS","ten","tap",0,"",NA
"193","L1","MS_word_ConvMask_tip","ConvMask","MS","tip","tip",1,"",NA
"194","L1","MS_word_ConvMask_tot","ConvMask","MS","tot","top",0,"",NA
"195","L1","MS_word_ConvMask_vat","ConvMask","MS","vat"," fat",0,"",NA
"196","L1","MS_word_ConvNoMask_back","ConvNoMask","MS","back","back",1,"",NA
"197","L1","MS_word_ConvNoMask_bag","ConvNoMask","MS","bag"," bag",1,"",NA
"198","L1","MS_word_ConvNoMask_bat","ConvNoMask","MS","bat","bag",0,"",NA
"199","L1","MS_word_ConvNoMask_beat","ConvNoMask","MS","beat","feet",0,"",NA
"200","L1","MS_word_ConvNoMask_book","ConvNoMask","MS","book","book",1,"",NA
"201","L1","MS_word_ConvNoMask_boot","ConvNoMask","MS","boot","boot",1,"",NA
"202","L1","MS_word_ConvNoMask_cab","ConvNoMask","MS","cab","cab",1,"",NA
"203","L1","MS_word_ConvNoMask_can","ConvNoMask","MS","can","can",1,"",NA
"204","L1","MS_word_ConvNoMask_cap","ConvNoMask","MS","cap","cap",1,"",NA
"205","L1","MS_word_ConvNoMask_chai","ConvNoMask","MS","chai","try",0,"",NA
"206","L1","MS_word_ConvNoMask_cheap","ConvNoMask","MS","cheap","cheap",1,"",NA
"207","L1","MS_word_ConvNoMask_chip","ConvNoMask","MS","chip","chip",1,"",NA
"208","L1","MS_word_ConvNoMask_dot","ConvNoMask","MS","dot","dot",1,"",NA
"209","L1","MS_word_ConvNoMask_eat","ConvNoMask","MS","eat","eat",1,"",NA
"210","L1","MS_word_ConvNoMask_fat","ConvNoMask","MS","fat","sat",0,"",NA
"211","L1","MS_word_ConvNoMask_feet","ConvNoMask","MS","feet","feet",1,"",NA
"212","L1","MS_word_ConvNoMask_fit","ConvNoMask","MS","fit","sit",0,"",NA
"213","L1","MS_word_ConvNoMask_gap","ConvNoMask","MS","gap","gap",1,"",NA
"214","L1","MS_word_ConvNoMask_heat","ConvNoMask","MS","heat","heat",1,"",NA
"215","L1","MS_word_ConvNoMask_hit","ConvNoMask","MS","hit","hit",1,"",NA
"216","L1","MS_word_ConvNoMask_hot","ConvNoMask","MS","hot","hot",1,"",NA
"217","L1","MS_word_ConvNoMask_it","ConvNoMask","MS","it","it",1,"",NA
"218","L1","MS_word_ConvNoMask_keen","ConvNoMask","MS","keen","keen",1,"",NA
"219","L1","MS_word_ConvNoMask_knot","ConvNoMask","MS","knot","not",1,"",NA
"220","L1","MS_word_ConvNoMask_mad","ConvNoMask","MS","mad","mad ",1,"",NA
"221","L1","MS_word_ConvNoMask_neat","ConvNoMask","MS","neat","meat",0,"",NA
"222","L1","MS_word_ConvNoMask_pad","ConvNoMask","MS","pad","had",0,"",NA
"223","L1","MS_word_ConvNoMask_pat","ConvNoMask","MS","pat","tat",0,"",NA
"224","L1","MS_word_ConvNoMask_sheep","ConvNoMask","MS","sheep","sheep",1,"",NA
"225","L1","MS_word_ConvNoMask_ship","ConvNoMask","MS","ship","ship",1,"",NA
"226","L1","MS_word_ConvNoMask_shy","ConvNoMask","MS","shy","shy",1,"",NA
"227","L1","MS_word_ConvNoMask_sigh","ConvNoMask","MS","sigh","sigh",1,"",NA
"228","L1","MS_word_ConvNoMask_sip","ConvNoMask","MS","sip","sip",1,"",NA
"229","L1","MS_word_ConvNoMask_tan","ConvNoMask","MS","tan","tan",1,"",NA
"230","L1","MS_word_ConvNoMask_teen","ConvNoMask","MS","teen","team",0,"",NA
"231","L1","MS_word_ConvNoMask_ten","ConvNoMask","MS","ten","ten",1,"",NA
"232","L1","MS_word_ConvNoMask_tip","ConvNoMask","MS","tip","tip",1,"",NA
"233","L1","MS_word_ConvNoMask_tot","ConvNoMask","MS","tot","top",0,"",NA
"234","L1","MS_word_ConvNoMask_vat","ConvNoMask","MS","vat","back",0,"",NA
"235","L1","SK_word_ClearMask_back","ClearMask","SK","back","back",1,"",NA
"236","L1","SK_word_ClearMask_bag","ClearMask","SK","bag","bag",1,"",NA
"237","L1","SK_word_ClearMask_bat","ClearMask","SK","bat","fat",0,"",NA
"238","L1","SK_word_ClearMask_beat","ClearMask","SK","beat","eat",0,"eat",0
"239","L1","SK_word_ClearMask_book","ClearMask","SK","book","book",1,"",NA
"240","L1","SK_word_ClearMask_boot","ClearMask","SK","boot","boot",1,"",NA
"241","L1","SK_word_ClearMask_cab","ClearMask","SK","cab","had",0,"",NA
"242","L1","SK_word_ClearMask_can","ClearMask","SK","can","hand",0,"",NA
"243","L1","SK_word_ClearMask_cap","ClearMask","SK","cap","tac",0,"",NA
"244","L1","SK_word_ClearMask_chai","ClearMask","SK","chai","time",0,"",NA
"245","L1","SK_word_ClearMask_cheap","ClearMask","SK","cheap","eat",0,"",NA
"246","L1","SK_word_ClearMask_chip","ClearMask","SK","chip","sip",0,"",NA
"247","L1","SK_word_ClearMask_dot","ClearMask","SK","dot","top",0,"",NA
"248","L1","SK_word_ClearMask_eat","ClearMask","SK","eat","heat",0,"",NA
"249","L1","SK_word_ClearMask_fat","ClearMask","SK","fat","cap",0,"",NA
"250","L1","SK_word_ClearMask_feet","ClearMask","SK","feet","feet",1,"",NA
"251","L1","SK_word_ClearMask_fit","ClearMask","SK","fit","sit",0,"",NA
"252","L1","SK_word_ClearMask_gap","ClearMask","SK","gap","gap",1,"",NA
"253","L1","SK_word_ClearMask_heat","ClearMask","SK","heat","heat",1,"",NA
"254","L1","SK_word_ClearMask_hit","ClearMask","SK","hit","hit",1,"",NA
"255","L1","SK_word_ClearMask_hot","ClearMask","SK","hot","funk",0,"",NA
"256","L1","SK_word_ClearMask_it","ClearMask","SK","it","hit",0,"",NA
"257","L1","SK_word_ClearMask_keen","ClearMask","SK","keen","team",0,"",NA
"258","L1","SK_word_ClearMask_knot","ClearMask","SK","knot","mop",0,"",NA
"259","L1","SK_word_ClearMask_mad","ClearMask","SK","mad","x",0,"",NA
"260","L1","SK_word_ClearMask_neat","ClearMask","SK","neat","meat",0,"",NA
"261","L1","SK_word_ClearMask_pad","ClearMask","SK","pad","had",0,"",NA
"262","L1","SK_word_ClearMask_pat","ClearMask","SK","pat","hat",0,"",NA
"263","L1","SK_word_ClearMask_sheep","ClearMask","SK","sheep","feet",0,"",NA
"264","L1","SK_word_ClearMask_ship","ClearMask","SK","ship","hip",0,"",NA
"265","L1","SK_word_ClearMask_shy","ClearMask","SK","shy","try",0,"",NA
"266","L1","SK_word_ClearMask_sigh","ClearMask","SK","sigh","ride",0,"",NA
"267","L1","SK_word_ClearMask_sip","ClearMask","SK","sip","sit",0,"",NA
"268","L1","SK_word_ClearMask_tan","ClearMask","SK","tan","tan",1,"",NA
"269","L1","SK_word_ClearMask_teen","ClearMask","SK","teen","team",0,"",NA
"270","L1","SK_word_ClearMask_ten","ClearMask","SK","ten","can",0,"",NA
"271","L1","SK_word_ClearMask_tip","ClearMask","SK","tip","tip",1,"",NA
"272","L1","SK_word_ClearMask_tot","ClearMask","SK","tot","pot",0,"",NA
"273","L1","SK_word_ClearMask_vat","ClearMask","SK","vat","back",0,"",NA
"274","L1","SK_word_ConvMask_back","ConvMask","SK","back","fast",0,"",NA
"275","L1","SK_word_ConvMask_bag","ConvMask","SK","bag","fat",0,"",NA
"276","L1","SK_word_ConvMask_bat","ConvMask","SK","bat","x",0,"",NA
"277","L1","SK_word_ConvMask_beat","ConvMask","SK","beat","eat",0,"",NA
"278","L1","SK_word_ConvMask_book","ConvMask","SK","book","book",1,"",NA
"279","L1","SK_word_ConvMask_boot","ConvMask","SK","boot","boot",1,"",NA
"280","L1","SK_word_ConvMask_cab","ConvMask","SK","cab","cab",1,"",NA
"281","L1","SK_word_ConvMask_can","ConvMask","SK","can","tan",0,"",NA
"282","L1","SK_word_ConvMask_cap","ConvMask","SK","cap","cat",0,"",NA
"283","L1","SK_word_ConvMask_chai","ConvMask","SK","chai","try",0,"",NA
"284","L1","SK_word_ConvMask_cheap","ConvMask","SK","cheap","sheet",0,"",NA
"285","L1","SK_word_ConvMask_chip","ConvMask","SK","chip","ship",0,"",NA
"286","L1","SK_word_ConvMask_dot","ConvMask","SK","dot","x",0,"",NA
"287","L1","SK_word_ConvMask_eat","ConvMask","SK","eat","eat",1,"",NA
"288","L1","SK_word_ConvMask_fat","ConvMask","SK","fat","hat",0,"",NA
"289","L1","SK_word_ConvMask_feet","ConvMask","SK","feet","feet",1,"",NA
"290","L1","SK_word_ConvMask_fit","ConvMask","SK","fit","x",0,"",NA
"291","L1","SK_word_ConvMask_gap","ConvMask","SK","gap","gap",1,"",NA
"292","L1","SK_word_ConvMask_heat","ConvMask","SK","heat","eat",0,"",NA
"293","L1","SK_word_ConvMask_hit","ConvMask","SK","hit","hit",1,"",NA
"294","L1","SK_word_ConvMask_hot","ConvMask","SK","hot","hot",1,"",NA
"295","L1","SK_word_ConvMask_it","ConvMask","SK","it","it",1,"",NA
"296","L1","SK_word_ConvMask_keen","ConvMask","SK","keen","team",0,"",NA
"297","L1","SK_word_ConvMask_knot","ConvMask","SK","knot","mop",0,"",NA
"298","L1","SK_word_ConvMask_mad","ConvMask","SK","mad","mad",1,"",NA
"299","L1","SK_word_ConvMask_neat","ConvMask","SK","neat","meat",0,"",NA
"300","L1","SK_word_ConvMask_pad","ConvMask","SK","pad","pad",1,"",NA
"301","L1","SK_word_ConvMask_pat","ConvMask","SK","pat","tat",0,"",NA
"302","L1","SK_word_ConvMask_sheep","ConvMask","SK","sheep","eat",0,"",NA
"303","L1","SK_word_ConvMask_ship","ConvMask","SK","ship","ship",1,"",NA
"304","L1","SK_word_ConvMask_shy","ConvMask","SK","shy","x",0,"",NA
"305","L1","SK_word_ConvMask_sigh","ConvMask","SK","sigh","hide",0,"",NA
"306","L1","SK_word_ConvMask_sip","ConvMask","SK","sip","sip",1,"",NA
"307","L1","SK_word_ConvMask_tan","ConvMask","SK","tan","tan",1,"",NA
"308","L1","SK_word_ConvMask_teen","ConvMask","SK","teen","team",0,"",NA
"309","L1","SK_word_ConvMask_ten","ConvMask","SK","ten","ten",1,"",NA
"310","L1","SK_word_ConvMask_tip","ConvMask","SK","tip","tip",1,"",NA
"311","L1","SK_word_ConvMask_tot","ConvMask","SK","tot","x",0,"",NA
"312","L1","SK_word_ConvMask_vat","ConvMask","SK","vat","back",0,"",NA
"313","L1","SK_word_ConvNoMask_back","ConvNoMask","SK","back","cat",0,"",NA
"314","L1","SK_word_ConvNoMask_bag","ConvNoMask","SK","bag","bag",1,"",NA
"315","L1","SK_word_ConvNoMask_bat","ConvNoMask","SK","bat","back",0,"",NA
"316","L1","SK_word_ConvNoMask_beat","ConvNoMask","SK","beat","feet",0,"",NA
"317","L1","SK_word_ConvNoMask_book","ConvNoMask","SK","book","book",1,"",NA
"318","L1","SK_word_ConvNoMask_boot","ConvNoMask","SK","boot","boot",1,"",NA
"319","L1","SK_word_ConvNoMask_cab","ConvNoMask","SK","cab","cab",1,"",NA
"320","L1","SK_word_ConvNoMask_can","ConvNoMask","SK","can","tan",0,"",NA
"321","L1","SK_word_ConvNoMask_cap","ConvNoMask","SK","cap","cat",0,"",NA
"322","L1","SK_word_ConvNoMask_chai","ConvNoMask","SK","chai","try",0,"",NA
"323","L1","SK_word_ConvNoMask_cheap","ConvNoMask","SK","cheap","heat",0,"",NA
"324","L1","SK_word_ConvNoMask_chip","ConvNoMask","SK","chip","hip",0,"",NA
